,ev_op_Hp25_spsa
825,4.320173149960094
826,4.028155846588974
827,4.283513730435843
828,3.772266355053246
829,3.9263377617819977
830,3.927677744303166
831,4.120859713219993
832,4.068957286537504
833,4.508057523496146
834,4.0564513109665485
835,4.023488610013555
836,3.9711337937414553
837,4.232060336935722
838,4.0325949979996
839,4.338355694052439
840,3.852400757981727
841,4.227732718145922
842,4.2356540716449835
843,4.1420277047625955
844,3.965843511528382
845,4.2948382825003515
846,3.925400809163539
847,4.212906507271118
848,4.120521649792035
849,4.194009421412249
850,4.143777703827351
851,4.204166900489494
852,4.075310855267875
853,4.026830356509804
854,3.930299987692195
855,3.9958597130380173
856,3.908152638444085
857,4.38952366666854
858,3.7703646170276737
859,4.16000946136803
860,3.8739126325029196
861,4.260981632113452
862,4.0505076121919465
863,4.091186037672675
864,4.126960905685645
865,4.0640871995686325
866,3.7763240216382723
867,4.345109229851688
868,3.9845865196778436
869,4.059340413218855
870,3.94900061926515
871,4.193861910659447
872,4.1413145134189
873,4.240732756389683
874,3.831327982091813
875,4.387873608712461
876,3.872470508336822
877,4.233220568523767
878,3.9183693243859166
879,4.452044974320697
880,3.741683148850306
881,4.466263114202292
882,4.113634558954942
883,4.20322544211787
884,3.8770019242441776
885,4.239140524277631
886,3.9164499917811324
887,4.106438256523895
888,4.0809444346473605
889,4.1436353089882285
890,4.073253610744876
891,4.118854467904119
892,4.126275529978321
893,3.9716886586168143
894,4.03255411630289
895,4.21621009936068
896,4.136476188990523
897,4.179954733428585
898,3.760511529217209
899,4.14312880115057
900,3.9115547321975996
901,4.2243113568763055
902,4.0400810711977915
903,4.092345262610209
904,3.9726944841573397
905,3.962502627698932
906,3.727103653015931
907,3.8953491245836096
908,3.9616789068713087
909,4.194887298715161
910,3.761959575795483
911,4.220621429596474
912,4.063580793707262
913,4.473347770923744
914,4.008259990092213
915,4.134272053583137
916,3.8939884391977153
917,4.265570320576958
918,4.073684920228861
919,4.141767246122352
920,3.9745253862013965
921,4.086322062740359
922,4.1493876907347325
923,4.201839942221844
924,3.98528336596031
925,4.091173493100711
926,3.833425656866406
927,4.254069353830811
928,4.158046214514074
929,4.295946594060834
930,4.073413972262807
931,4.016775255184694
932,4.134527619377823
933,4.100201967707364
934,3.9785893983759073
935,4.301568219882352
936,4.059963003629613
937,4.24552704566176
938,4.202712333137878
939,4.0111185682942185
940,4.003352646386408
941,3.9206471424553455
942,3.67743162328951
943,4.236283944693861
944,4.073754742295831
945,4.302580457833716
946,4.016414657499435
947,4.150727906984599
948,3.8915189590177133
949,4.0022365910657856
950,3.9286807750939436
951,4.252642641401108
952,3.94096470406843
953,4.334453084850393
954,4.2370003501824804
955,4.124186808512475
956,4.168690504810758
957,4.180591026603765
958,4.09526897371849
959,4.253899488609472
960,3.859585914053298
961,4.270596629215772
962,4.013126740335199
963,4.291709852782722
964,4.147729199745062
965,4.33363841506165
966,4.1973421684743455
967,4.230287497959897
968,4.029410071063798
969,3.9503321202571122
970,4.089483114371772
971,4.244749576225449
972,3.9701190398544863
973,4.145948626603532
974,3.8948262761048364
975,4.082232976830558
976,4.023122084693725
977,4.25791308688704
978,4.202374465836258
979,4.0426157139255885
980,4.1576766576413196
981,4.388974769626646
982,4.04538382513088
983,4.224551531537543
984,4.035564091013968
985,4.313168270702983
986,3.9340185280969258
987,4.409287243562129
988,3.938196221812753
989,4.188718105835826
990,3.9513758879054577
991,4.180689990946071
992,4.35543385726298
993,4.171986416982924
994,4.012194545596748
995,4.161916961977638
996,4.052141465255649
997,4.102516666755564
998,4.168386139157485
999,4.076219055689891
1000,3.7696529735021542
1001,4.207680100246675
1002,3.8009005646153575
1003,4.122699385633237
1004,4.118408331836467
1005,4.1059333687621455
1006,3.969166351939884
1007,4.240922877588494
1008,4.000361517343534
1009,4.057562956385184
1010,3.9543119440894996
1011,4.255921109962868
1012,4.057666477440962
1013,4.197455046685549
1014,3.8686778230901537
1015,4.129709731750183
1016,3.834837502177612
1017,4.038111332418388
1018,3.786934492412286
1019,4.00764557047354
1020,3.997525009387106
1021,4.105093305504651
1022,3.768370605572552
1023,4.157154457481342
1024,3.8654554096718043
1025,4.222432680149631
1026,3.826740234261242
1027,4.1943244876511185
