,ansatz_0a_3f,ansatz_0b_3f,ansatz_0c_3f,ansatz_0d_3f,ansatz_1a_3f,ansatz_1b_3f,ansatz_1c_3f,ansatz_1d_3f
59,4.5166015625,4.498046875,5.2412109375,4.5166015625,6.2294921875,4.498046875,5.4599609375,6.2294921875
60,4.6279296875,4.498046875,5.4853515625,4.6279296875,6.2294921875,4.498046875,5.4345703125,6.2294921875
61,4.5146484375,4.498046875,5.169921875,4.5146484375,6.2294921875,4.498046875,5.32421875,6.2294921875
62,4.62109375,4.498046875,5.166015625,4.62109375,6.2294921875,4.498046875,5.39453125,6.2294921875
63,4.5390625,4.498046875,5.18359375,4.5390625,6.2294921875,4.498046875,5.541015625,6.2294921875
64,4.6201171875,4.498046875,5.17578125,4.6201171875,6.4541015625,4.498046875,5.5986328125,6.4541015625
65,4.5712890625,4.498046875,5.16796875,4.5712890625,6.5322265625,4.498046875,5.30859375,6.5322265625
66,4.5625,4.498046875,5.13671875,4.5625,6.5283203125,4.498046875,5.5830078125,6.5283203125
67,4.5439453125,4.498046875,4.9462890625,4.5439453125,6.3779296875,4.498046875,5.30859375,6.3779296875
68,4.5908203125,4.498046875,5.0185546875,4.5908203125,6.30078125,4.498046875,5.30859375,6.30078125
69,4.5146484375,4.498046875,5.1904296875,4.5146484375,6.6552734375,4.498046875,5.30859375,6.6552734375
70,4.6591796875,4.498046875,5.0712890625,4.6591796875,5.80078125,4.498046875,5.30859375,5.80078125
71,4.5146484375,4.498046875,4.9921875,4.5146484375,6.2451171875,4.498046875,5.30859375,6.2451171875
72,4.556640625,4.498046875,4.8759765625,4.556640625,5.5751953125,4.498046875,5.30859375,5.5751953125
73,4.6083984375,4.498046875,4.8896484375,4.6083984375,5.751953125,4.498046875,5.30859375,5.751953125
74,4.5068359375,4.498046875,4.7724609375,4.5068359375,5.9130859375,4.498046875,5.30859375,5.9130859375
75,4.5068359375,4.498046875,4.7744140625,4.5068359375,5.5673828125,4.498046875,5.30859375,5.5673828125
76,4.5791015625,4.498046875,4.8623046875,4.5791015625,5.845703125,4.498046875,5.30859375,5.845703125
77,4.5068359375,4.498046875,4.78125,4.5068359375,5.2841796875,4.498046875,5.30859375,5.2841796875
78,4.564453125,4.498046875,4.849609375,4.564453125,5.505859375,4.498046875,5.30859375,5.505859375
79,4.5068359375,4.498046875,4.9248046875,4.5068359375,5.02734375,4.498046875,5.30859375,5.02734375
80,4.62109375,4.498046875,5.1357421875,4.62109375,4.9384765625,4.498046875,5.30859375,4.9384765625
81,4.5068359375,4.498046875,4.7705078125,4.5068359375,4.5126953125,4.498046875,5.30859375,4.5126953125
82,4.591796875,4.498046875,4.931640625,4.591796875,4.5126953125,4.498046875,5.6552734375,4.5126953125
83,4.5068359375,4.498046875,4.681640625,4.5068359375,4.625,4.498046875,5.3798828125,4.625
84,4.529296875,4.498046875,4.6533203125,4.529296875,4.5126953125,4.498046875,5.6484375,4.5126953125
85,4.5068359375,4.498046875,4.6875,4.5068359375,4.546875,4.498046875,5.2353515625,4.546875
86,4.49609375,4.498046875,4.84765625,4.49609375,4.5126953125,4.498046875,5.697265625,4.5126953125
87,4.49609375,4.498046875,4.6533203125,4.49609375,4.50390625,4.498046875,5.5712890625,4.50390625
88,4.5439453125,4.498046875,4.646484375,4.5439453125,4.50390625,4.498046875,5.2373046875,4.50390625
89,4.49609375,4.498046875,4.646484375,4.49609375,4.619140625,4.498046875,5.2431640625,4.619140625
90,4.54296875,4.498046875,4.6708984375,4.54296875,4.50390625,4.498046875,5.2470703125,4.50390625
91,4.4970703125,4.498046875,4.646484375,4.4970703125,4.62890625,4.498046875,5.2783203125,4.62890625
92,4.650390625,4.498046875,4.693359375,4.650390625,4.50390625,4.498046875,5.3037109375,4.50390625
93,4.4765625,4.498046875,4.654296875,4.4765625,4.6416015625,4.498046875,5.2705078125,4.6416015625
94,4.5009765625,4.498046875,5.0224609375,4.5009765625,4.50390625,4.498046875,5.142578125,4.50390625
95,4.5625,4.498046875,4.7578125,4.5625,4.7275390625,4.498046875,5.3056640625,4.7275390625
96,4.533203125,4.498046875,4.7001953125,4.533203125,4.50390625,4.498046875,5.3798828125,4.50390625
97,4.513671875,4.498046875,4.7041015625,4.513671875,4.9189453125,4.498046875,5.0361328125,4.9189453125
98,4.53515625,4.498046875,5.0166015625,4.53515625,4.6416015625,4.498046875,4.9296875,4.6416015625
99,4.453125,4.498046875,4.7626953125,4.453125,4.5400390625,4.498046875,4.875,4.5400390625
100,4.59375,4.498046875,5.03515625,4.59375,4.6318359375,4.498046875,5.052734375,4.6318359375
101,4.5595703125,4.498046875,4.646484375,4.5595703125,4.794921875,4.498046875,5.013671875,4.794921875
102,4.5458984375,4.498046875,4.671875,4.5458984375,4.681640625,4.498046875,4.8759765625,4.681640625
103,4.568359375,4.498046875,4.646484375,4.568359375,4.7734375,4.498046875,4.9853515625,4.7734375
104,4.50390625,4.498046875,4.6708984375,4.50390625,4.50390625,4.498046875,4.7666015625,4.50390625
105,4.4814453125,4.498046875,4.646484375,4.4814453125,4.75390625,4.498046875,4.75,4.75390625
106,4.498046875,4.498046875,4.681640625,4.498046875,4.50390625,4.498046875,4.83984375,4.50390625
107,4.509765625,4.498046875,4.6328125,4.509765625,4.70703125,4.498046875,4.75,4.70703125
108,4.48828125,4.498046875,4.7607421875,4.48828125,4.50390625,4.498046875,4.8896484375,4.50390625
109,4.4912109375,4.498046875,4.7724609375,4.4912109375,4.7841796875,4.498046875,4.75,4.7841796875
110,4.4853515625,4.498046875,4.9169921875,4.4853515625,4.50390625,4.498046875,4.833984375,4.50390625
111,4.5703125,4.498046875,4.685546875,4.5703125,4.767578125,4.498046875,4.75,4.767578125
112,4.447265625,4.498046875,4.845703125,4.447265625,4.50390625,4.498046875,5.072265625,4.50390625
113,4.490234375,4.498046875,4.58203125,4.490234375,4.826171875,4.498046875,4.75,4.826171875
