,ansatz_0a,ansatz_0b,ansatz_0c,ansatz_0d,ansatz_1a,ansatz_1b,ansatz_1c,ansatz_1d
138,5.2080078125,4.498046875,4.70703125,5.2080078125,4.5244140625,4.498046875,4.955078125,4.5244140625
139,5.1845703125,4.50390625,4.6953125,5.1845703125,4.9619140625,4.50390625,5.107421875,4.9619140625
140,5.2890625,4.498046875,4.87890625,5.2890625,4.6884765625,4.498046875,5.12109375,4.6884765625
141,5.0849609375,4.50390625,4.6083984375,5.0849609375,4.6298828125,4.50390625,5.0478515625,4.6298828125
142,5.1767578125,4.498046875,4.7470703125,5.1767578125,4.68359375,4.498046875,5.0224609375,4.68359375
143,5.23046875,4.50390625,4.599609375,5.23046875,4.5908203125,4.50390625,5.1396484375,4.5908203125
144,5.146484375,4.498046875,4.7548828125,5.146484375,4.720703125,4.498046875,4.9697265625,4.720703125
145,5.169921875,4.50390625,4.6025390625,5.169921875,4.5947265625,4.50390625,5.13671875,4.5947265625
146,5.28125,4.498046875,4.6318359375,5.28125,4.66796875,4.498046875,4.9462890625,4.66796875
147,5.0,4.50390625,4.65625,5.0,4.6279296875,4.50390625,4.9560546875,4.6279296875
148,5.0634765625,4.498046875,4.626953125,5.0634765625,4.66796875,4.498046875,5.1123046875,4.66796875
149,5.27734375,4.50390625,4.6416015625,5.27734375,4.5791015625,4.50390625,4.826171875,4.5791015625
150,5.2431640625,4.498046875,4.609375,5.2431640625,4.6259765625,4.498046875,5.060546875,4.6259765625
151,4.943359375,4.50390625,4.6787109375,4.943359375,4.5361328125,4.50390625,4.8037109375,4.5361328125
152,5.12890625,4.498046875,4.7041015625,5.12890625,4.6650390625,4.498046875,5.00390625,4.6650390625
153,4.9345703125,4.50390625,4.5849609375,4.9345703125,4.61328125,4.50390625,4.8046875,4.61328125
154,5.181640625,4.498046875,4.5771484375,5.181640625,4.5625,4.498046875,4.7919921875,4.5625
155,4.8671875,4.50390625,4.6044921875,4.8671875,4.6689453125,4.50390625,4.96484375,4.6689453125
156,5.1435546875,4.498046875,4.6904296875,5.1435546875,4.62109375,4.498046875,5.08984375,4.62109375
157,4.8759765625,4.50390625,4.6171875,4.8759765625,4.646484375,4.50390625,4.638671875,4.646484375
158,5.0048828125,4.498046875,4.6025390625,5.0048828125,4.63671875,4.498046875,4.5810546875,4.63671875
159,4.9130859375,4.50390625,4.599609375,4.9130859375,4.6083984375,4.50390625,4.890625,4.6083984375
160,5.01171875,4.498046875,4.6845703125,5.01171875,4.619140625,4.498046875,4.779296875,4.619140625
161,4.9755859375,4.50390625,4.5654296875,4.9755859375,4.5888671875,4.50390625,4.6875,4.5888671875
162,4.9453125,4.498046875,4.685546875,4.9453125,4.5849609375,4.498046875,4.744140625,4.5849609375
163,5.0458984375,4.50390625,4.611328125,5.0458984375,4.6328125,4.50390625,4.666015625,4.6328125
164,5.0927734375,4.498046875,4.646484375,5.0927734375,4.623046875,4.498046875,4.6748046875,4.623046875
165,4.89453125,4.50390625,4.62890625,4.89453125,4.6611328125,4.50390625,4.7158203125,4.6611328125
166,4.9931640625,4.498046875,4.6728515625,4.9931640625,4.6796875,4.498046875,4.708984375,4.6796875
167,4.94140625,4.50390625,4.6455078125,4.94140625,4.525390625,4.50390625,4.7099609375,4.525390625
168,4.9697265625,4.498046875,4.5859375,4.9697265625,4.6298828125,4.498046875,4.7470703125,4.6298828125
169,4.9423828125,4.50390625,4.60546875,4.9423828125,4.5810546875,4.50390625,4.6025390625,4.5810546875
170,5.0908203125,4.498046875,4.669921875,5.0908203125,4.6484375,4.498046875,4.76171875,4.6484375
171,4.91796875,4.50390625,4.6171875,4.91796875,4.6044921875,4.50390625,4.7021484375,4.6044921875
172,5.0048828125,4.498046875,4.7548828125,5.0048828125,4.6201171875,4.498046875,4.7060546875,4.6201171875
173,4.94921875,4.50390625,4.54296875,4.94921875,4.591796875,4.50390625,4.6376953125,4.591796875
174,5.1728515625,4.498046875,4.580078125,5.1728515625,4.6337890625,4.498046875,4.6875,4.6337890625
175,4.74609375,4.50390625,4.5986328125,4.74609375,4.5205078125,4.50390625,4.685546875,4.5205078125
176,5.0859375,4.498046875,4.578125,5.0859375,4.650390625,4.498046875,4.7333984375,4.650390625
177,4.802734375,4.50390625,4.6767578125,4.802734375,4.5771484375,4.50390625,4.6689453125,4.5771484375
178,4.82421875,4.498046875,4.552734375,4.82421875,4.6611328125,4.498046875,4.7919921875,4.6611328125
179,4.8349609375,4.50390625,4.576171875,4.8349609375,4.5869140625,4.50390625,4.5419921875,4.5869140625
180,4.7978515625,4.498046875,4.6357421875,4.7978515625,4.5869140625,4.498046875,4.673828125,4.5869140625
181,4.8759765625,4.50390625,4.6923828125,4.8759765625,4.69140625,4.50390625,4.5830078125,4.69140625
182,4.8271484375,4.498046875,4.6240234375,4.8271484375,4.6171875,4.498046875,4.5791015625,4.6171875
183,4.791015625,4.50390625,4.5849609375,4.791015625,4.6591796875,4.50390625,4.7353515625,4.6591796875
184,4.8427734375,4.498046875,4.650390625,4.8427734375,4.6181640625,4.498046875,4.6279296875,4.6181640625
185,4.826171875,4.50390625,4.6298828125,4.826171875,4.59765625,4.50390625,4.5703125,4.59765625
186,4.8076171875,4.498046875,4.5849609375,4.8076171875,4.6748046875,4.498046875,4.5888671875,4.6748046875
187,4.802734375,4.50390625,4.58203125,4.802734375,4.49609375,4.50390625,4.580078125,4.49609375
188,4.9580078125,4.498046875,4.587890625,4.9580078125,4.53515625,4.498046875,4.7109375,4.53515625
189,4.650390625,4.50390625,4.5732421875,4.650390625,4.619140625,4.50390625,4.6279296875,4.619140625
190,4.7578125,4.498046875,4.6865234375,4.7578125,4.5869140625,4.498046875,4.658203125,4.5869140625
191,4.748046875,4.50390625,4.5439453125,4.748046875,4.607421875,4.50390625,4.611328125,4.607421875
192,4.7744140625,4.498046875,4.5869140625,4.7744140625,4.5615234375,4.498046875,4.7783203125,4.5615234375
193,4.783203125,4.50390625,4.517578125,4.783203125,4.5732421875,4.50390625,4.576171875,4.5732421875
194,4.7861328125,4.498046875,4.6142578125,4.7861328125,4.5478515625,4.498046875,4.6240234375,4.5478515625
195,4.8046875,4.50390625,4.62109375,4.8046875,4.572265625,4.50390625,4.5556640625,4.572265625
196,4.8408203125,4.498046875,4.669921875,4.8408203125,4.6103515625,4.498046875,4.619140625,4.6103515625
197,4.6591796875,4.50390625,4.52734375,4.6591796875,4.5029296875,4.50390625,4.72265625,4.5029296875
198,4.6953125,4.498046875,4.4521484375,4.6953125,4.46875,4.498046875,4.5830078125,4.46875
