,ansatz_0a_su2_3f,ansatz_0b_su2_3f,ansatz_0c_su2_3f,ansatz_0d_su2_3f,ansatz_1a_su2_3f,ansatz_1b_su2_3f,ansatz_1c_su2_3f,ansatz_1d_su2_3f
100,6.580078125,4.498046875,7.4892578125,7.017578125,6.46484375,4.498046875,6.8515625,6.37109375
101,6.216796875,4.50390625,7.43359375,6.8505859375,5.990234375,4.50390625,6.69921875,6.4755859375
102,6.478515625,4.498046875,7.396484375,6.904296875,6.1201171875,4.498046875,7.09765625,6.408203125
103,6.390625,4.50390625,7.443359375,7.0419921875,6.357421875,4.50390625,6.6552734375,6.4765625
104,6.4482421875,4.498046875,7.3349609375,6.818359375,6.6240234375,4.498046875,6.7734375,6.5263671875
105,6.455078125,4.50390625,7.39453125,6.83203125,5.880859375,4.50390625,6.9658203125,6.2724609375
106,6.3994140625,4.498046875,7.4814453125,6.9443359375,6.103515625,4.498046875,6.9873046875,6.4736328125
107,6.3212890625,4.50390625,7.296875,6.9384765625,6.05078125,4.50390625,6.671875,6.3876953125
108,6.453125,4.498046875,7.587890625,6.994140625,6.1064453125,4.498046875,6.7060546875,6.49609375
109,6.505859375,4.50390625,7.1513671875,6.900390625,6.16796875,4.50390625,6.7978515625,6.451171875
110,6.1875,4.498046875,7.4521484375,6.8525390625,6.5068359375,4.498046875,6.7919921875,6.423828125
111,6.48828125,4.50390625,7.4892578125,6.95703125,5.8671875,4.50390625,6.4384765625,6.41796875
112,6.3515625,4.498046875,7.3994140625,6.8720703125,6.2919921875,4.498046875,6.6640625,6.41015625
113,6.2197265625,4.50390625,7.49609375,7.0107421875,6.16015625,4.50390625,6.3291015625,6.2509765625
114,6.5625,4.498046875,7.470703125,7.0166015625,6.376953125,4.498046875,6.322265625,6.1220703125
115,6.20703125,4.50390625,7.37890625,6.7060546875,5.923828125,4.50390625,6.490234375,6.71484375
116,6.4375,4.498046875,7.056640625,6.80859375,6.32421875,4.498046875,6.4658203125,6.3212890625
117,6.3662109375,4.50390625,7.591796875,6.9248046875,5.9169921875,4.50390625,6.4052734375,6.2041015625
118,6.4091796875,4.498046875,7.228515625,7.083984375,6.1845703125,4.498046875,6.359375,6.3115234375
119,6.498046875,4.50390625,7.107421875,6.5791015625,6.0107421875,4.50390625,6.5576171875,6.197265625
120,6.4462890625,4.498046875,7.169921875,6.8671875,6.0771484375,4.498046875,6.4609375,6.263671875
121,6.271484375,4.50390625,7.080078125,6.7587890625,6.1357421875,4.50390625,6.326171875,6.265625
122,6.5380859375,4.498046875,7.1904296875,7.24609375,6.2197265625,4.498046875,6.427734375,6.328125
123,6.392578125,4.50390625,7.228515625,6.5703125,5.943359375,4.50390625,6.33984375,6.060546875
124,6.4091796875,4.498046875,6.92578125,7.0361328125,5.935546875,4.498046875,6.65625,6.3740234375
125,6.4716796875,4.50390625,7.380859375,6.9267578125,6.0029296875,4.50390625,6.2294921875,6.189453125
126,6.6767578125,4.498046875,7.0625,7.1201171875,6.248046875,4.498046875,6.5849609375,6.4345703125
127,6.1787109375,4.50390625,7.1396484375,7.0703125,5.7978515625,4.50390625,6.16015625,5.9990234375
128,6.6513671875,4.498046875,7.1083984375,7.1181640625,6.0029296875,4.498046875,6.5625,6.0361328125
129,6.2607421875,4.50390625,7.171875,6.9580078125,5.84375,4.50390625,6.3515625,6.2158203125
130,6.4091796875,4.498046875,7.1513671875,6.806640625,5.90625,4.498046875,6.6748046875,5.970703125
131,6.267578125,4.50390625,7.0029296875,7.224609375,5.7841796875,4.50390625,6.1083984375,6.0986328125
132,6.41796875,4.498046875,7.162109375,6.97265625,6.005859375,4.498046875,6.3798828125,6.330078125
133,6.326171875,4.50390625,7.1494140625,6.6103515625,5.775390625,4.50390625,6.24609375,5.9560546875
134,6.576171875,4.498046875,6.990234375,6.7333984375,5.759765625,4.498046875,6.580078125,6.072265625
135,6.2412109375,4.50390625,7.0361328125,6.703125,6.0087890625,4.50390625,6.30078125,6.0283203125
136,6.3564453125,4.498046875,7.248046875,6.8017578125,5.822265625,4.498046875,6.2880859375,6.0947265625
137,6.4267578125,4.50390625,6.89453125,6.7373046875,5.98828125,4.50390625,6.474609375,6.1572265625
138,6.3125,4.498046875,7.2822265625,6.66796875,5.9345703125,4.498046875,6.3173828125,6.2021484375
139,6.373046875,4.50390625,6.8564453125,6.6796875,5.8193359375,4.50390625,6.4599609375,5.986328125
140,6.423828125,4.498046875,7.20703125,6.880859375,5.8076171875,4.498046875,6.513671875,6.1396484375
