,ansatz_0a_2f,ansatz_0b_2f,ansatz_0c_2f,ansatz_0d_2f,ansatz_1a_2f,ansatz_1b_2f,ansatz_1c_2f,ansatz_1d_2f
161,4.6416015625,4.50390625,4.6259765625,4.6591796875,4.515625,4.50390625,4.6171875,4.533203125
162,4.7255859375,4.498046875,4.5810546875,4.701171875,4.6201171875,4.498046875,4.69140625,4.619140625
163,4.57421875,4.50390625,4.57421875,4.6435546875,4.6328125,4.50390625,4.60546875,4.5986328125
164,4.50390625,4.498046875,4.728515625,4.587890625,4.587890625,4.498046875,4.591796875,4.5810546875
165,4.529296875,4.50390625,4.6083984375,4.4873046875,4.53515625,4.50390625,4.55859375,4.5087890625
166,4.6259765625,4.498046875,4.7021484375,4.6240234375,4.6572265625,4.498046875,4.587890625,4.6748046875
167,4.564453125,4.50390625,4.580078125,4.654296875,4.6142578125,4.50390625,4.63671875,4.634765625
168,4.5263671875,4.498046875,4.611328125,4.5185546875,4.5517578125,4.498046875,4.609375,4.568359375
169,4.5205078125,4.50390625,4.5849609375,4.4873046875,4.5341796875,4.50390625,4.5771484375,4.556640625
170,4.5419921875,4.498046875,4.6103515625,4.5810546875,4.5830078125,4.498046875,4.779296875,4.5634765625
171,4.5634765625,4.50390625,4.5849609375,4.5361328125,4.4990234375,4.50390625,4.6279296875,4.5244140625
172,4.59375,4.498046875,4.7802734375,4.5830078125,4.59765625,4.498046875,4.6552734375,4.5771484375
173,4.5732421875,4.50390625,4.5791015625,4.55859375,4.58984375,4.50390625,4.615234375,4.5849609375
174,4.6220703125,4.498046875,4.6962890625,4.6328125,4.728515625,4.498046875,4.7021484375,4.7138671875
175,4.599609375,4.50390625,4.6376953125,4.5595703125,4.6005859375,4.50390625,4.6494140625,4.6142578125
176,4.578125,4.498046875,4.6513671875,4.5830078125,4.556640625,4.498046875,4.5517578125,4.5595703125
177,4.6103515625,4.50390625,4.6806640625,4.525390625,4.5205078125,4.50390625,4.5830078125,4.517578125
178,4.4951171875,4.498046875,4.779296875,4.5361328125,4.59375,4.498046875,4.6259765625,4.5927734375
179,4.498046875,4.50390625,4.646484375,4.4755859375,4.580078125,4.50390625,4.53125,4.5546875
180,4.5771484375,4.498046875,4.673828125,4.5732421875,4.626953125,4.498046875,4.66015625,4.623046875
181,4.546875,4.50390625,4.5517578125,4.490234375,4.6279296875,4.50390625,4.54296875,4.58984375
182,4.68359375,4.498046875,4.5966796875,4.669921875,4.6044921875,4.498046875,4.701171875,4.5859375
183,4.6826171875,4.50390625,4.724609375,4.65234375,4.5849609375,4.50390625,4.5517578125,4.5947265625
184,4.501953125,4.498046875,4.6650390625,4.517578125,4.486328125,4.498046875,4.615234375,4.5185546875
185,4.5625,4.50390625,4.580078125,4.5,4.546875,4.50390625,4.6279296875,4.5478515625
186,4.650390625,4.498046875,4.5595703125,4.673828125,4.59375,4.498046875,4.6953125,4.5908203125
187,4.5947265625,4.50390625,4.578125,4.611328125,4.5693359375,4.50390625,4.52734375,4.5595703125
188,4.5927734375,4.498046875,4.6064453125,4.5791015625,4.5498046875,4.498046875,4.5302734375,4.5439453125
189,4.6181640625,4.50390625,4.6044921875,4.5791015625,4.5546875,4.50390625,4.607421875,4.5576171875
190,4.5087890625,4.498046875,4.6396484375,4.5654296875,4.5947265625,4.498046875,4.572265625,4.591796875
191,4.5087890625,4.50390625,4.5087890625,4.5,4.529296875,4.50390625,4.630859375,4.556640625
192,4.5234375,4.498046875,4.6513671875,4.509765625,4.583984375,4.498046875,4.5546875,4.599609375
193,4.5283203125,4.50390625,4.6083984375,4.478515625,4.5576171875,4.50390625,4.515625,4.552734375
194,4.55859375,4.498046875,4.681640625,4.4990234375,4.607421875,4.498046875,4.7001953125,4.611328125
195,4.53515625,4.50390625,4.5556640625,4.544921875,4.5517578125,4.50390625,4.6474609375,4.5791015625
196,4.6337890625,4.498046875,4.69921875,4.6083984375,4.71875,4.498046875,4.5615234375,4.7548828125
197,4.5859375,4.50390625,4.640625,4.556640625,4.6630859375,4.50390625,4.6064453125,4.6337890625
198,4.52734375,4.498046875,4.5078125,4.537109375,4.5830078125,4.498046875,4.63671875,4.59765625
199,4.560546875,4.50390625,4.6552734375,4.5576171875,4.548828125,4.50390625,4.578125,4.564453125
200,4.5087890625,4.498046875,4.724609375,4.4609375,4.595703125,4.498046875,4.6318359375,4.5625
201,4.5322265625,4.50390625,4.607421875,4.548828125,4.4990234375,4.50390625,4.517578125,4.546875
202,4.583984375,4.498046875,4.615234375,4.5732421875,4.5166015625,4.498046875,4.6220703125,4.5048828125
203,4.62890625,4.50390625,4.578125,4.646484375,4.5341796875,4.50390625,4.6376953125,4.53125
204,4.5517578125,4.498046875,4.6455078125,4.52734375,4.5927734375,4.498046875,4.7119140625,4.640625
205,4.53125,4.50390625,4.5693359375,4.525390625,4.6083984375,4.50390625,4.5615234375,4.5439453125
206,4.658203125,4.498046875,4.630859375,4.6337890625,4.5166015625,4.498046875,4.6533203125,4.58984375
207,4.638671875,4.50390625,4.6240234375,4.5693359375,4.498046875,4.50390625,4.64453125,4.5283203125
208,4.533203125,4.498046875,4.7001953125,4.599609375,4.6015625,4.498046875,4.6884765625,4.6240234375
209,4.5693359375,4.50390625,4.6748046875,4.5771484375,4.595703125,4.50390625,4.591796875,4.623046875
210,4.564453125,4.498046875,4.646484375,4.548828125,4.587890625,4.498046875,4.6015625,4.625
211,4.5751953125,4.50390625,4.6103515625,4.5478515625,4.556640625,4.50390625,4.58984375,4.5791015625
212,4.568359375,4.498046875,4.6943359375,4.5546875,4.62890625,4.498046875,4.6435546875,4.5537109375
213,4.5048828125,4.50390625,4.6328125,4.548828125,4.5458984375,4.50390625,4.5966796875,4.5673828125
214,4.5419921875,4.498046875,4.52734375,4.5234375,4.6865234375,4.498046875,4.6357421875,4.6533203125
215,4.533203125,4.50390625,4.5986328125,4.52734375,4.642578125,4.50390625,4.619140625,4.587890625
216,4.53515625,4.498046875,4.6123046875,4.55078125,4.60546875,4.498046875,4.6728515625,4.609375
217,4.5244140625,4.50390625,4.6416015625,4.5341796875,4.5712890625,4.50390625,4.6279296875,4.5966796875
218,4.5810546875,4.498046875,4.609375,4.52734375,4.7265625,4.498046875,4.583984375,4.7177734375
219,4.5830078125,4.50390625,4.5908203125,4.603515625,4.638671875,4.50390625,4.525390625,4.615234375
220,4.521484375,4.498046875,4.6474609375,4.548828125,4.7587890625,4.498046875,4.6923828125,4.7744140625
221,4.4853515625,4.50390625,4.5830078125,4.5673828125,4.6826171875,4.50390625,4.64453125,4.7197265625
222,4.5576171875,4.498046875,4.5625,4.4970703125,4.576171875,4.498046875,4.6416015625,4.5390625
223,4.509765625,4.50390625,4.62109375,4.5224609375,4.533203125,4.50390625,4.5400390625,4.556640625
224,4.5947265625,4.498046875,4.556640625,4.58203125,4.55078125,4.498046875,4.5927734375,4.576171875
225,4.5263671875,4.50390625,4.568359375,4.556640625,4.58203125,4.50390625,4.5390625,4.5166015625
226,4.5419921875,4.498046875,4.701171875,4.55078125,4.625,4.498046875,4.55078125,4.58203125
227,4.5732421875,4.50390625,4.5419921875,4.546875,4.583984375,4.50390625,4.6025390625,4.5419921875
228,4.5263671875,4.498046875,4.6884765625,4.548828125,4.5771484375,4.498046875,4.6845703125,4.57421875
229,4.4970703125,4.50390625,4.544921875,4.564453125,4.5732421875,4.50390625,4.630859375,4.5556640625
230,4.6083984375,4.498046875,4.609375,4.6044921875,4.583984375,4.498046875,4.5849609375,4.5615234375
231,4.576171875,4.50390625,4.5966796875,4.5966796875,4.55859375,4.50390625,4.5732421875,4.5791015625
232,4.525390625,4.498046875,4.5556640625,4.517578125,4.5771484375,4.498046875,4.5888671875,4.5771484375
233,4.4609375,4.50390625,4.5595703125,4.5419921875,4.5869140625,4.50390625,4.578125,4.5615234375
234,4.6240234375,4.498046875,4.83203125,4.572265625,4.6337890625,4.498046875,4.578125,4.6376953125
235,4.541015625,4.50390625,4.5625,4.568359375,4.5927734375,4.50390625,4.66796875,4.58203125
236,4.564453125,4.498046875,4.5908203125,4.5576171875,4.623046875,4.498046875,4.5703125,4.59765625
237,4.5,4.50390625,4.58984375,4.578125,4.5791015625,4.50390625,4.5390625,4.564453125
238,4.611328125,4.498046875,4.6328125,4.6982421875,4.6376953125,4.498046875,4.6044921875,4.6298828125
