,seed_28
398,4.183369255493834
399,4.069323536036554
400,4.367041292653362
401,3.9307579824874024
402,4.103616490975748
403,4.052407994579958
404,4.238814825637454
405,3.9410257129382598
406,3.9406242299130905
407,4.256965196031854
408,4.017262157006544
409,4.116549205704458
410,3.9411380486621255
411,4.05661827088925
412,4.090224304721921
413,4.050351723014998
414,4.194555899892417
415,3.8785691789928443
416,4.0127146259236515
417,4.015584637880068
418,3.9973447901337296
419,4.079719475839389
420,3.9823698298978862
421,4.193428734514258
422,4.328209406334647
423,3.8314549570638756
424,3.9164899277726186
425,4.084956354692265
426,4.155341206192587
427,3.892532925129181
428,3.885493785776571
429,4.037080371702452
430,4.04045340118346
431,3.844654967446941
432,4.012934812770681
433,3.863547323801836
434,3.882923167647412
435,4.091379012086385
436,4.132956757090281
437,3.7781734665710824
438,3.9954879901657834
439,3.853631584505202
440,4.029351081818965
441,3.803271491746684
442,3.933192841252955
443,3.848632217839941
444,4.1390594211368965
445,3.7139793228935116
446,4.002994322552481
447,3.7994109532724756
448,3.7311835806040317
449,3.9013945180357896
450,3.8369067286042444
451,3.934350017812548
452,3.9927525969076703
453,3.856372412213568
454,3.9066370281542104
455,3.867451941676649
456,4.115493706852996
457,3.6011757832232947
458,3.850186260436671
459,3.7814054598397835
460,3.8666891284256946
461,3.7379804491824506
462,3.691134674191575
463,3.864409218295903
464,3.8682030423789167
465,3.702970059329446
466,3.696037765231075
467,3.8441890492546613
468,3.754122863590377
469,3.872216577351794
470,3.6765202696266175
471,3.9115598488624004
472,3.8279340973368385
473,3.713213340199234
474,3.768123470934324
475,3.8256087764216877
476,3.685869560922742
477,3.908110023522922
478,3.74610039660568
479,3.8549880918198896
480,3.8624326301335596
481,3.7649129180211722
482,3.887251033206786
483,3.680015050580902
484,3.9546793875220088
485,3.6512190525799095
486,3.8382296580273763
487,3.769942161896956
488,3.6951703665456286
489,3.7893395377761103
490,3.733865277979039
491,3.7320759362832066
492,3.5854243560474246
493,3.854702592756695
494,3.6810678364474363
495,3.7507603044631423
496,3.978291095596836
497,3.6140518062065263
498,3.6030881183957453
499,3.8504918318311803
500,3.6369886265456586
501,3.8032904582009874
502,3.766815767826698
503,3.6481055805666998
504,3.7171138934422467
505,3.6481298573931267
506,3.611295401748559
507,3.7697265854245217
508,3.8000644150363505
509,3.580096652655029
510,3.6796947571573484
511,3.6834862577918455
512,3.7207919706746284
513,3.752859113659217
514,3.621226461156438
515,3.793327111737812
516,3.7631912316925997
517,3.591966391037111
518,3.655392827181327
519,3.735493495969525
520,3.619419135975373
521,3.7377980393608925
522,3.6756955875423447
523,3.7163219464901966
524,3.800754087020481
525,3.5519266658004014
526,3.7784677698873352
527,3.5864710795316204
528,3.5272562212652767
529,3.8351796408854972
530,3.631800471825795
531,3.673476525559782
532,3.585298690372452
533,3.6022217183082077
534,3.5789850388591655
535,3.646131634002073
536,3.807998255612386
537,3.542819592038698
538,3.6833648429966077
539,3.61761356247614
540,3.7876708578298026
541,3.506801642348731
542,3.834036522434118
543,3.5008597970158486
544,3.6342254934475804
545,3.6278846689481177
546,3.5657868375062765
547,3.631999066726152
548,3.666671894891097
549,3.6563734656996973
550,3.338036075065244
